,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,20.C.S.5,21.C.S.5,62.C.S.8,188.C.C.6,189.C.C.6,190.C.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,237.C.C.6,238.C.C.6,241.C.C.6,243.C.C.6,253.C.C.6,254.C.C.6,257.C.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
Oxypurinol,1.968944099,7.282258065,2.401606426,4.119544592,22.23735409,3.738045738,25.93046358,8.12195122,14.98826979,2.061870504,1.739690722,3.898760331,1.880291971,1.147260274,3.431542461,1.24,1.897079277,2.346375144,1.230769231,1.54028436,1.211515864,1.041493776,1.432011331,1.598440546,4.490506329,0.536666667,1.484299517,4.280748663,2.588021779,1.91025641
Phenylacetic acid,0.155279503,1.088709677,1.325301205,0.626185958,0.548638132,1.158004158,0.582781457,0.842572062,0.659824047,0.171223022,0.262886598,0.797520661,0.435036496,0.186073059,0.258232236,0.090666667,0.31015299,0.452243959,0.140039448,0.123222749,0.116333725,0.186721992,0.133144476,0.116959064,0.389240506,0.126666667,0.105072464,0.326203209,0.10707804,0.179487179
Phenylalanine,0.652173913,1.040322581,1.746987952,0.777988615,1.26459144,1.388773389,1.51986755,1.543237251,1.134897361,0.417266187,0.350515464,1.493801653,0.525547445,0.347031963,0.459272097,0.416,0.922114047,0.911392405,0.408284024,0.320695103,0.352526439,0.367219917,0.923512748,0.575048733,0.791139241,0.288333333,0.198067633,0.63368984,0.466424682,0.341346154
Proline,0.600414079,1.286290323,3.265060241,0.956356736,1.817120623,1.802494802,2.920529801,1.629711752,1.692082111,0.566906475,0.547680412,1.797520661,0.816058394,0.381278539,0.696707106,0.624,0.933240612,0.904487917,0.546351085,0.499210111,0.28907168,0.5,0.531161473,0.436647173,1.189873418,0.32,0.199275362,0.622994652,0.499092559,0.434294872
Propionate,8.799171843,3.370967742,9.706827309,6.199240987,6.556420233,8.625779626,4.483443709,4.243902439,11.25806452,4.604316547,4.461340206,4.340909091,5.624817518,2.702054795,6.164644714,2.021333333,4.742698192,2.482163406,2.009861933,4.222748815,1.920094007,8.2406639,1.628895184,3.253411306,4.46835443,3.036666667,2.632850242,1.909090909,2.607985481,1.217948718
Ribose,0.070393375,1.673387097,10.40160643,6.130929791,5.719844358,6.164241164,6.592715232,4.920177384,3.017595308,1.038848921,1.675257732,7.095041322,3.093430657,2.091324201,3.190641248,2.016,4.80945758,4.707710012,2.761341223,1.436018957,1.407755582,0.761410788,1.423512748,1.399610136,5.193037975,1.343333333,0.694444444,1.943850267,1.201451906,1.604166667
Succinate,2.875776398,1.213709677,3.353413655,2.415559772,49.86770428,3.61954262,2.549668874,6.44345898,2.970674487,1.303597122,1.010309278,3.167355372,2.564963504,1.228310502,2.726169844,0.730666667,2.340751043,1.372842348,0.682445759,1.271721959,1.16333725,2.356846473,0.454674221,0.925925926,3.10443038,2.706666667,1.095410628,1.050802139,1.099818512,1.294871795
Taurine,1.774327122,1.032258065,1.43373494,0.740037951,0.93385214,1.517671518,7.857615894,0.982261641,1.979472141,0.890647482,1.657216495,0.745867769,0.491970803,0.642694064,0.383015598,1.136,0.787204451,0.197928654,0.518737673,1.353870458,0.280846063,0.139004149,3.150141643,0.202729045,0.981012658,7.278333333,0.710144928,0.564171123,0.31215971,0.334935897
Threonine,0.960662526,1.536290323,3.257028112,1.180265655,1.813229572,1.775467775,2.294701987,2.303769401,1.686217009,0.608633094,0.407216495,1.619834711,0.626277372,0.533105023,0.601386482,0.64,0.902642559,1.117376295,0.560157791,0.510268562,0.373678026,0.414937759,0.641643059,0.339181287,0.96835443,0.186666667,0.214975845,0.497326203,0.381125227,0.427884615
Thymine,0.031055901,0.116935484,0.152610442,0.227703985,0.128404669,0.241164241,0.433774834,0.44789357,0.258064516,0.083453237,0.101804124,0.747933884,0.127007299,0.081050228,0.103986135,0.109333333,0.139082058,0.544303797,0.072978304,0.058451817,0.064629847,0.05186722,0.097733711,0.140350877,0.189873418,0.061666667,0.062801932,0.248663102,0.072595281,0.084935897
