,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,257.C.C.9,243.C.C.9,253.C.C.9,254.C.C.9,261.C.C.9,262.C.C.9,188.C.C.9,189.C.C.9,190.C.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,199.C.C.9,263.C.C.9,237.C.C.9,238.C.C.9,183.C.S.10,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,184.C.S.10
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
Aspartate,2.4,2.701530612,0.828162291,0.991803279,1.434782609,1.276271186,1.128301887,1.02,1.638596491,0.956521739,1.131914894,1.104225352,1.437647059,0.679090909,1.174074074,1.049206349,0.773404255,1.2390625,1.105633803,0.638356164,2.133333333,0.923809524,0.979166667,1.280851064,1.25,2.369565217,1.026315789,0.944230769,1.227868852,0.856363636,0.810126582,1.628169014,0.782191781
Beta-N-Acetylglucosamine,3.335555556,2.290816327,2.330548926,2.650819672,17.51014493,30.42542373,2.349056604,7.072857143,18.13157895,6.78173913,4.719148936,1.650704225,5.918823529,10.30181818,6.668518519,25.02380952,2.891489362,9.0328125,14.58732394,11.06438356,7.187037037,4.088888889,6.975,7.570212766,6.957142857,5.586956522,7.689473684,10.33076923,20.36229508,1.738181818,4.75443038,6.174647887,3.389041096
Butyrate,3.904444444,3.535714286,5.642004773,11.53606557,1.311594203,5.23559322,2.935849057,6.204285714,2.036842105,5.994782609,2.944680851,1.546478873,5.897647059,3.061818182,1.240740741,1.928571429,1.890425532,1.925,2.609859155,3.067123288,4.712962963,0.782539683,1.327083333,1.855319149,0.992857143,1.295652174,1.573684211,2.969230769,1.354098361,1.961818182,3.286075949,2.911267606,4.51369863
Chenodeoxycholic acid,1.502222222,2.926020408,0.787589499,0.918032787,2.063768116,0.745762712,0.811320755,2.405714286,1.833333333,2.002608696,4.49787234,1.470422535,0.201176471,2.466363636,4.116666667,2.252380952,5.412765957,5.9765625,10.5943662,1.535616438,0.553703704,0.801587302,1.81875,5.978723404,9.316666667,4.208695652,3.094736842,2.328846154,1.693442623,1.432727273,0.958227848,3.035211268,0.328767123
Cholate,0.626666667,1.540816327,0.020286396,0.019672131,0.475362319,0.233898305,0.332075472,0.041428571,0.3,0.010434783,0.136170213,0.9,0.242352941,0.058181818,0.281481481,0.050793651,0.035106383,0.2046875,0.13943662,0.083561644,0.016666667,0.196825397,0.5125,0.468085106,2.578571429,0.597826087,0.221052632,0.061538462,0.119672131,0.441818182,0.302531646,0.050704225,0.090410959
Choline,0.406666667,0.336734694,0.297136038,0.849180328,0.175362319,1.242372881,0.143396226,1.435714286,0.324561404,0.26173913,0.229787234,0.170422535,0.974117647,0.290909091,0.194444444,0.125396825,0.34893617,0.178125,0.495774648,0.25890411,0.940740741,0.13968254,0.139583333,0.112765957,1.104761905,0.45,0.389473684,0.607692308,1.309836066,0.585454545,0.282278481,0.885915493,0.538356164
Cytidine monophosphate,0.755555556,1.173469388,0.447494033,0.619672131,0.311594203,1.242372881,0.530188679,0.49,0.843859649,0.22173913,1,0.438028169,0.295294118,0.271818182,0.911111111,0.852380952,0.2,1.525,0.271830986,0.289041096,0.435185185,0.703174603,0.770833333,0.808510638,1.102380952,0.458695652,0.649122807,0.544230769,0.409836066,0.589090909,0.663291139,0.23943662,0.401369863
D-Glucose,0.351111111,0.553571429,1.776849642,2.109836066,0.636231884,8.406779661,1.309433962,2.354285714,0.538596491,1.564347826,0.436170213,0.154929577,3.438823529,1.533636364,0.309259259,0.612698413,2.021276596,0.3703125,1.584507042,0.752054795,2.9,0.247619048,0.808333333,0.59787234,7.40952381,0.573913043,0.428070175,0.857692308,1.926229508,0.867272727,1.212658228,0.866197183,0.661643836
Dimethylamine,0.015555556,0.022959184,0.010739857,0.006557377,0.007246377,0.008474576,0.011320755,0.007142857,0.00877193,0.004347826,0.008510638,0.005633803,0.004705882,0.008181818,0.02037037,0.017460317,0.010638298,0.0171875,0.012676056,0.008219178,0.016666667,0.014285714,0.022916667,0.019148936,0.064285714,0.186956522,0.047368421,0.034615385,0.052459016,0.203636364,0.016455696,0.008450704,0.009589041
Ferulate,0.188888889,0.142857143,0.031026253,0.086885246,0.165217391,0.379661017,0.181132075,0.107142857,0.335087719,0.07826087,0.29787234,0.14084507,0.111764706,0.062727273,0.2,0.16031746,0.088297872,0.1125,0.135211268,0.108219178,0.12962963,0.204761905,0.2875,0.204255319,0.2,0.086956522,0.168421053,0.146153846,0.108196721,0.143636364,0.116455696,0.105633803,0.076712329
Formate,1.395555556,1.714285714,0.723150358,0.88852459,0.763768116,4.013559322,1.098113208,0.55,0.857894737,0.39826087,0.910638298,0.687323944,0.604705882,0.32,0.540740741,0.49047619,0.369148936,0.5421875,0.501408451,0.4,0.659259259,0.580952381,0.79375,0.836170213,1.264285714,2.508695652,0.764912281,1.125,0.698360656,0.885454545,0.548101266,0.598591549,0.602739726
Fucose,0.477777778,0.420918367,0.281622912,0.375409836,1.079710145,0.745762712,0.503773585,0.465714286,1.033333333,0.384347826,0.565957447,0.373239437,0.317647059,0.370909091,0.692592593,1.40952381,0.130851064,0.4640625,0.476056338,0.764383562,0.344444444,0.423809524,0.783333333,0.861702128,1.502380952,1.058695652,0.703508772,0.865384615,1.591803279,0.445454545,0.478481013,0.322535211,0.389041096
Fumarate,0.288888889,0.285714286,0.125298329,0.181967213,0.123188406,0.210169492,0.216981132,0.205714286,0.184210526,0.09826087,0.263829787,0.202816901,0.198823529,0.108181818,0.214814815,0.19047619,0.069148936,0.2796875,0.174647887,0.065753425,0.105555556,0.20952381,0.254166667,0.212765957,0.15,0.219565217,0.145614035,0.088461538,0.157377049,0.198181818,0.070886076,0.191549296,0.065753425
