,47.M.S.8,44.M.S.8,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,242.M.C.9,252.M.C.9,259.M.C.9,186.M.C.9,187.M.C.9,191.M.C.9,192.M.C.9,198.M.C.9,236.M.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,173.M.S.10,169.M.S.10,164.M.S.9,224.M.S.9,215.M.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10,12.M.S.9
,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Oxypurinol,6.991561181,7.36440678,5.602272727,1.518518519,3.774576271,2.102325581,1.918867925,3.8875,4.781578947,3.040322581,5.505263158,2.168852459,2.205263158,3.859375,4.525,4.575925926,2.009302326,6.303030303,1.370967742,2.2875,7.836,2.731343284,7.148333333,2.001923077,5.434285714,2.292405063,8.25,2.8,3.950684932,6.723809524,4.23923445
Phenylacetic acid,0.421940928,0.252118644,0.225,0.297222222,0.198305085,0.248837209,0.203773585,0.505357143,0.242105263,0.127419355,1.368421053,0.196721311,0.177192982,0.30625,0.2225,0.325925926,0.281395349,0.36969697,0.085483871,0.276136364,0.398,0.282089552,0.158333333,0.576923077,0.345714286,0.082278481,0.16,0.29,0.104109589,0.216666667,0.433811802
Phenylalanine,1.954992968,0.819915254,1.068181818,0.472222222,0.688135593,1.81627907,0.537735849,1.092857143,0.797368421,0.433870968,1.452631579,0.550819672,0.433333333,0.621875,1.525,0.922222222,0.459302326,1.290909091,0.611290323,0.296590909,1.142,0.449253731,0.781666667,1.421153846,0.554285714,0.416455696,0.69,0.2825,0.490410959,0.952380952,0.684210526
Proline,1.9395218,0.911016949,0.863636364,0.790740741,0.728813559,1.837209302,0.522641509,1.105357143,0.863157895,0.619354839,1.805263158,0.583606557,0.407017544,0.50625,2.1325,1.274074074,0.602325581,1.421212121,1.098387097,0.693181818,1.22,1.044776119,1.168333333,1.796153846,0.934285714,0.491139241,0.955,0.305,0.260273973,1.464285714,1.226475279
Propionate,3.798874824,3.980932203,5.827272727,4.528703704,2.925423729,1.774418605,6.167924528,4.342857143,7.936842105,2.124193548,3.321052632,3.273770492,2.545614035,3.596875,1.6575,2.394444444,4.33372093,9.018181818,2.462903226,3.613636364,3.554,3.143283582,2.263333333,6.094230769,6.344285714,2.443037975,4.315,4.0125,1.328767123,3.264285714,4.240829346
Ribose,1.267229255,1.972457627,1.588636364,2.093518519,1.574576271,1.148837209,1.388679245,3.871428571,1.665789474,1.325806452,2.931578947,2.103278689,1.459649123,1.771875,2.285,3.414814815,1.455813953,1.912121212,1.856451613,2.376136364,6.002,3.104477612,1.475,4.136538462,2.318571429,0.650632911,0.77,2.1775,0.931506849,2.783333333,1.494417863
Succinate,1.514767932,4.252118644,0.909090909,0.875925926,0.777966102,2.911627907,0.541509434,1.410714286,2.010526316,1.103225806,17.32105263,1.875409836,4.00877193,15.315625,0.8,1.124074074,2.412790698,3.53030303,2.941935484,2.220454545,1.198,4.3,1.47,7.278846154,3.937142857,1.267088608,1.29,1.055,1.591780822,0.683333333,1.483253589
Taurine,1.604781997,0.987288136,3.015909091,0.174074074,0.211864407,2.058139535,2.013207547,0.394642857,0.442105263,1.329032258,12.22105263,1.240983607,4.121052632,1.45625,1.3425,0.696296296,0.16744186,8.224242424,1.711290323,0.388636364,0.26,1.852238806,1.203333333,1.082692308,0.488571429,3.458227848,1.495,0.13375,2.504109589,1.652380952,0.290271132
Threonine,1.652601969,0.769067797,0.75,0.778703704,0.705084746,1.595348837,0.622641509,1.546428571,1.057894737,0.483870968,1.615789474,0.613114754,0.496491228,0.8875,1.9275,1.211111111,0.931395349,0.948484848,0.508064516,1.355681818,1.69,1.371641791,0.9,3.123076923,1.504285714,0.364556962,0.74,0.775,0.452054795,1.242857143,1.213716108
Thymine,0.092827004,0.093220339,0.061363636,0.087037037,0.13559322,0.134883721,0.064150943,0.203571429,0.123684211,0.133870968,0.273684211,0.157377049,0.103508772,0.134375,0.12,0.175925926,0.137209302,0.103030303,0.05,0.075,0.46,0.086567164,0.11,0.253846154,0.088571429,0.040506329,0.125,0.07375,0.060273973,0.052380952,0.26953748
Trimethylamine,0.026722925,0.044491525,0.018181818,0.009259259,0.030508475,0.037209302,0.016981132,0.025,0.039473684,0.04516129,0.094736842,0.036065574,0.031578947,0.040625,0.0375,0.031481481,0.018604651,0.036363636,0.016129032,0.006818182,0.036,0.014925373,0.025,0.028846154,0.017142857,0.013924051,0.085,0.01125,0.032876712,0.033333333,0.03030303
Tryptophan,0.337552743,0.110169492,0.097727273,0.059259259,0.118644068,0.28372093,0.103773585,0.110714286,0.139473684,0.066129032,0.236842105,0.108196721,0.080701754,0.175,0.1625,0.118518519,0.05,0.233333333,0.114516129,0.044318182,0.246,0.094029851,0.153333333,0.284615385,0.05,0.060759494,0.225,0.0525,0.084931507,0.130952381,0.149920255
Tyrosine,2.374120956,1.595338983,0.863636364,0.392592593,0.530508475,1.190697674,0.381132075,0.866071429,0.460526316,0.44516129,1.647368421,0.404918033,0.410526316,0.653125,1.1875,0.698148148,0.343023256,0.887878788,0.630645161,0.334090909,0.9,0.410447761,0.608333333,2.036538462,0.52,0.272151899,0.65,0.2975,0.312328767,0.795238095,0.500797448
UMP,0.571026723,0.639830508,0.447727273,0.366666667,0.415254237,0.311627907,0.50754717,0.876785714,0.794736842,0.296774194,0.742105263,0.275409836,0.249122807,0.453125,0.4575,0.787037037,0.452325581,0.781818182,0.209677419,0.380681818,0.67,0.547761194,0.28,0.913461538,0.554285714,0.120253165,0.535,0.12,0.336986301,0.476190476,0.629984051
Uracil,2.11954993,1.26059322,0.965909091,2.619444444,1.179661017,1.244186047,1.345283019,5.235714286,2.65,1.040322581,2.278947368,1.591803279,1.21754386,1.284375,1.845,3.975925926,2.897674419,1.245454545,0.598387097,3.621590909,8.404,5.059701493,2.536666667,9.778846154,5.714285714,0.864556962,2.86,3.78125,0.821917808,1.535714286,11.06220096
Urocanate,0.254571027,0.082627119,0.088636364,0.103703704,0.077966102,0.102325581,0.088679245,0.15,0.131578947,0.080645161,0.184210526,0.075409836,0.075438596,0.078125,0.1,0.183333333,0.103488372,0.166666667,0.035483871,0.042045455,0.074,0.092537313,0.07,0.176923077,0.07,0.049367089,0.085,0.03125,0.052054795,0.057142857,0.038277512
