,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate
Methionine,0.676007005,0.865961199,1.195652174,0.514880952,2.575107296,0.482401656,0.806451613,1.919678715,0.671726755,1.062256809,1.0997921,0.616666667,1.026923077,0.346153846,0.767068273,1.546357616,1.341463415,0.46875,0.997067449
Methylamine,0.940455342,0.835978836,1.987922705,1.160714286,3.381974249,0.759834369,2.673387097,2.248995984,1.20113852,2.490272374,1.511434511,0.338888889,0.634615385,0.266666667,1.072289157,1.890728477,0.911308204,0.512695313,0.211143695
Nicotinate,0.877408056,1.0335097,1.400966184,0.273809524,1.356223176,0.215320911,0.487903226,1.726907631,0.815939279,0.968871595,1.126819127,0.302777778,0.615384615,0.456410256,0.583668005,0.854304636,0.869179601,0.377929688,0.809384164
Oxypurinol,8.243432574,1.278659612,3.483091787,13.10119048,19.48927039,1.968944099,7.282258065,2.401606426,4.119544592,22.23735409,3.738045738,2.466666667,6.146153846,2.342307692,6.437751004,25.93046358,8.12195122,2.616210938,14.98826979
Phenylacetic acid,0.586690018,0.384479718,0.671497585,0.43452381,0.532188841,0.155279503,1.088709677,1.325301205,0.626185958,0.548638132,1.158004158,0.325,0.426923077,0.214102564,0.210174029,0.582781457,0.842572062,0.25,0.659824047
Phenylalanine,0.676007005,0.827160494,1.31884058,0.696428571,3.244635193,0.652173913,1.040322581,1.746987952,0.777988615,1.26459144,1.388773389,1.022222222,0.873076923,0.408974359,0.788487282,1.51986755,1.543237251,0.643554688,1.134897361
Proline,1.415061296,1.195767196,1.400966184,1.357142857,2.201716738,0.600414079,1.286290323,3.265060241,0.956356736,1.817120623,1.802494802,0.652777778,1.153846154,0.88974359,0.6854083,2.920529801,1.629711752,1.124023438,1.692082111
Propionate,4.95971979,4.215167549,4.983091787,4.154761905,4.317596567,8.799171843,3.370967742,9.706827309,6.199240987,6.556420233,8.625779626,2.963888889,4.484615385,2.757692308,2.309236948,4.483443709,4.243902439,2.647460938,11.25806452
Ribose,2.313485114,1.46031746,7.929951691,6.369047619,9.184549356,0.070393375,1.673387097,10.40160643,6.130929791,5.719844358,6.164241164,1.888888889,3.161538462,2.320512821,4.744310576,6.592715232,4.920177384,3.740234375,3.017595308
Succinate,1.898423818,2.414462081,3.219806763,10.33630952,2.416309013,2.875776398,1.213709677,3.353413655,2.415559772,49.86770428,3.61954262,10.97777778,1.896153846,1.161538462,1.385542169,2.549668874,6.44345898,1.131835938,2.970674487
Taurine,0.318739054,0.375661376,0.816425121,0.49702381,1.128755365,1.774327122,1.032258065,1.43373494,0.740037951,0.93385214,1.517671518,6.247222222,3.619230769,0.212820513,0.174029451,7.857615894,0.982261641,0.244140625,1.979472141
Threonine,1.520140105,2.186948854,2.033816425,0.714285714,2.772532189,0.960662526,1.536290323,3.257028112,1.180265655,1.813229572,1.775467775,0.877777778,1.153846154,0.508974359,1.042838019,2.294701987,2.303769401,0.692382813,1.686217009
Thymine,0.670753065,0.292768959,0.297101449,0.181547619,0.506437768,0.031055901,0.116935484,0.152610442,0.227703985,0.128404669,0.241164241,0.094444444,0.184615385,0.085897436,0.289156627,0.433774834,0.44789357,0.263671875,0.258064516
Trimethylamine,0.042031524,0.029982363,0.043478261,0.068452381,0.081545064,0.022774327,0.080645161,0.064257028,0.024667932,0.054474708,0.018711019,0.027777778,0.065384615,0.016666667,0.029451138,0.039735099,0.035476718,0.018554688,0.049853372
Tryptophan,0.206654991,0.167548501,0.188405797,0.18452381,0.566523605,0.140786749,0.233870968,0.385542169,0.123339658,0.342412451,0.164241164,0.266666667,0.215384615,0.056410256,0.176706827,0.245033113,0.305986696,0.125,0.202346041
Tyrosine,0.450087566,0.631393298,1.214975845,0.517857143,3.454935622,0.445134576,1.379032258,1.97188755,0.647058824,1.307392996,1.249480249,0.872222222,0.9,0.358974359,0.414993307,1.195364238,1.370288248,0.341796875,1.988269795
UMP,0.527145359,0.544973545,1,0.208333333,1.39055794,0.3126294,0.657258065,2.144578313,0.736242884,1.112840467,0.598752599,0.261111111,0.834615385,0.515384615,0.27978581,1.572847682,1.297117517,0.36328125,1.797653959
Uracil,13.48861646,12.31216931,16.40338164,3.824404762,13.83690987,1.49689441,5.205645161,20.02811245,11.09867173,7.894941634,10.96257796,0.808333333,2.657692308,2.174358974,8.346720214,12.00662252,14.32150776,8.012695313,5.947214076
Urocanate,0.045534151,0.0670194,0.04589372,0.068452381,0.154506438,0.074534161,0.217741935,0.248995984,0.075901328,0.105058366,0.085239085,0.083333333,0.15,0.106410256,0.052208835,0.122516556,0.075388027,0.026367188,0.208211144
Valerate,0.507880911,0.511463845,0.683574879,0.285714286,0.622317597,0.627329193,0.399193548,0.534136546,0.559772296,0.770428016,0.858627859,0.080555556,0.142307692,0.228205128,0.222222222,0.589403974,0.254988914,0.185546875,0.832844575
Valine,1.464098074,1.698412698,2.280193237,0.910714286,4.377682403,0.824016563,1.423387097,3.682730924,1.671726755,1.953307393,2.765072765,1.533333333,1.465384615,0.81025641,1.504685408,2.745033113,3.141906874,1.3125,2.595307918
Xanthine,5.866900175,6.091710758,8.456521739,1.842261905,11.14592275,0.592132505,2.387096774,12.06024096,5.275142315,4.762645914,5.72972973,1.447222222,2.684615385,2.611538462,4.298527443,7.493377483,5.188470067,2.915039063,6.319648094
Xylose,1.397548161,1.358024691,3.024154589,5.380952381,8.227467811,3.494824017,11.16532258,6.530120482,1.185958254,7.175097276,1.056133056,4.511111111,9.203846154,2.683333333,2.301204819,5.708609272,1.605321508,1.66015625,4.521994135
p-Cresol,0.126094571,0.111111111,0.082125604,0.053571429,0.364806867,0.101449275,0.358870968,0.204819277,0.045540797,0.245136187,0.168399168,0.05,0.057692308,0.024358974,0.09772423,0.185430464,0.073170732,0.046875,0.11143695
?-Alanine,0.238178634,0.239858907,0.632850242,0.178571429,0.313304721,0.089026915,0.262096774,0.787148594,0.371916509,0.190661479,0.41995842,0.1,0.176923077,0.079487179,0.089692102,0.228476821,0.243902439,0.243164063,0.360703812
