Sample ID,186.M.C.3,187.M.C.3,188.C.C.3,189.C.C.3,190.C.C.3,191.M.C.3,192.M.C.3,193.C.C.3,194.C.C.3,197.C.C.3,198.M.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,228.M.C.3,229.M.C.3,255.M.C.3,256.M.C.3,257.C.C.3
Group,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused
Glutamine,0.715686275,0.986486486,1.685,1.821621622,1.685,0.525,0.894444444,0.52244898,0.873913043,1.356521739,1.070588235,0.447368421,0.515,2.532352941,1.285714286,1.055555556,2.497142857,0.627906977,0.386111111,1.22
Glycine,1.168627451,1.302702703,2.23,2.483783784,1.75,0.606818182,1.902777778,0.546938776,1.134782609,1.506521739,1.026470588,0.815789474,0.7,3.094117647,1.55,1.161111111,3.451428571,1.706976744,0.869444444,1.202
Glycocholate,0.009803922,0.051351351,0.0375,0.021621622,0.02,0.05,0.061111111,0.163265306,0.008695652,0.026086957,0.064705882,0.339473684,0.075,0.038235294,0.023809524,0.222222222,0.042857143,0.053488372,0.004166667,0.08
Guanosine monophosphate,1.768627451,1.397297297,2.7625,3.194594595,1.2825,1.05,1.483333333,0.569387755,1.020289855,1.947826087,0.858823529,1.136842105,0.6625,4.120588235,2.852380952,2.833333333,4.128571429,1.795348837,0.890277778,0.658
Hexanoylcarnitine,0.058823529,0.17027027,0.2525,0.272972973,0.2175,0.143181818,0.108333333,0.259183673,0.110144928,0.123913043,0.547058824,0.089473684,0.245,0.473529412,0.173809524,0.466666667,0.414285714,0.134883721,0.080555556,0.374
Histamine,0.38627451,0.840540541,0.7775,0.256756757,0.3075,0.265909091,0.325,0.2,0.142028986,0.213043478,0.264705882,0.210526316,0.15,0.5,0.404761905,0.127777778,0.24,0.151162791,0.102777778,0.272
Histidine,0.4,0.551351351,0.815,0.743243243,0.6875,0.422727273,0.85,0.289795918,0.205797101,0.308695652,0.279411765,0.3,0.285,2.182352941,1.026190476,1.055555556,1.671428571,0.346511628,0.265277778,0.334
Hypoxanthine,0.111764706,0.154054054,0.22,0.121621622,0.205,0.05,0.111111111,0.048979592,0.05942029,0.089130435,0.058823529,0.076315789,0.0725,0.085294118,0.069047619,0.15,0.077142857,0.090697674,0.091666667,0.052
Inosine,0.474509804,0.402702703,0.8575,0.775675676,0.7375,0.036363636,0.533333333,0.040816327,0.624637681,0.836956522,0.067647059,0.184210526,0.075,1.329411765,0.79047619,0.155555556,1.288571429,0.397674419,0.2375,0.05
Isobutyrate,0.37254902,0.556756757,0.85,1.013513514,0.9375,0.570454545,0.991666667,0.569387755,0.546376812,0.480434783,0.355882353,0.318421053,0.55,1.067647059,0.673809524,0.494444444,1.097142857,0.572093023,0.172222222,0.248
Isoleucine,1.315686275,1.608108108,2.2975,2.048648649,2.225,0.711363636,1.038888889,0.648979592,1.326086957,1.897826087,0.897058824,0.639473684,0.675,4.629411765,1.661904762,1.9,4.891428571,1.276744186,0.751388889,0.982
Isovalerate,0.12745098,0.145945946,0.26,0.245945946,0.2875,0.106818182,0.35,0.046938776,0.143478261,0.215217391,0.070588235,0.044736842,0.09,0.502941176,0.185714286,0.027777778,0.374285714,0.139534884,0.134722222,0.088
L-Arginine,0.278431373,0.143243243,0.3975,0.454054054,0.285,0.268181818,0.1,0.224489796,0.227536232,0.610869565,0.405882353,0.386842105,0.1525,0.741176471,0.376190476,0.911111111,0.734285714,0.409302326,0.159722222,0.238
Lactate,12.35686275,13.74054054,19.295,13.46756757,9.8625,14.13636364,2.769444444,15.33061224,5.113043478,3.545652174,16.35,15.96578947,5.7475,15.06764706,14.65714286,31.07222222,3.394285714,21.21860465,13.61805556,11.466
