"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"266","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"267","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae_1","100","Clostridium_sensu_stricto","100"
"268","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
"269","Bacteria","100","Fusobacteria","100","Fusobacteriia","100","Fusobacteriales","100","Fusobacteriaceae","100","Fusobacteriaceae_unclassified","100"
"270","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"271","Bacteria","100","Bacteroidetes","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100"
"272","Bacteria","100","Firmicutes","98","Firmicutes_unclassified","98","Firmicutes_unclassified","98","Firmicutes_unclassified","98","Firmicutes_unclassified","98"
"273","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Clostridium_IV","92"
"274","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Gordonibacter","100"
"275","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Collinsella","100"
"276","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Slackia","100"
"277","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"278","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Intestinimonas","100"
"279","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"280","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"281","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Butyricicoccus","95"
"282","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100"
"283","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
"284","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"285","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"286","Bacteria","100","Firmicutes","100","Bacilli","100","Lactobacillales","100","Lactobacillaceae","100","Lactobacillus","100"
"287","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Alloprevotella","100"
"288","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","82","Clostridiales_unclassified","82"
"289","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"290","Bacteria","100","Firmicutes","89","Clostridia","89","Clostridiales","89","Clostridiales_unclassified","89","Clostridiales_unclassified","89"
"291","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"292","Bacteria","100","Proteobacteria","100","Epsilonproteobacteria","100","Campylobacterales","100","Campylobacteraceae","100","Campylobacter","100"
"293","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"294","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
